Work title,Work medium,"Size of work
*Feel free to up-scale your work from its original dimensions",Full Name,Year work was made,Column 6,filename,What is your project about? Provide a brief description.
A Box for Any Occasion,Bristol board and paper ,"5""x8""",Un Jingjang,2024,src/DSCF9161 - Ammi Kira.JPG,DSCF9161 - Ammi Kira.JPG,"Struggling to find the perfect gift for your friend, partner, or parents? This box is for you. Designed for any occasion—birthdays, being legal, or any moment worth celebrating—it holds more than just a surprise.
Inside, you'll find instructions for both the giver and the receiver. However, the giver is encouraged to discard their instructions—so the receiver never suspects you were struggling to find the perfect gift."
A Conversation with Katie McIntyre,Magazine,11.5 x 15in roughly,Chanya Vitayakul,2024,src/DS4 Interview Publication - Chanya - Chanya Vitayakul.pdf,DS4 Interview Publication - Chanya - Chanya Vitayakul.pdf,"A publication about creating the feminine future with RISD Alum, Katie McIntyre"
A Conversation with Studio HanLi,Print,12*18 in,Andrew Haoyuan Liu,2024,src/LIU_ANDREW_HANLI_1 - Haoyuan Liu.png,LIU_ANDREW_HANLI_1 - Haoyuan Liu.png,An interview with Studio HanLi.
A knot can be untied if the loop is broken / Broken loops can be tied with a knot,Print,"Collage of small print, total ~11x17",Ryan Yan,2024,src/grid - Ryan Yan.jpg,grid - Ryan Yan.jpg,Writings from Fall 2024
Alien Apple,Print and Physical vinyl,24x36 print and 10x10 vinyl,Yeriel Jeong,2024,src/Alien Apple Project - Yeriel Jeong.pdf,Alien Apple Project - Yeriel Jeong.pdf,"The project Alien Apple offers you a one-of-a-kind experience.
An alien apple crash-lands on Earth, planting its seeds across the city in an attempt to take over. These seeds grow into music—songs that take root and transform into strange, eerie alien apples unique to each city. Through Alien Apple, you will experience music in a whole new way, selecting your own apple to uncover the sound within. The taste of this peculiar, musty fruit will linger in your memory long after.

(Identity Design, music album cover)"
ALL ABOUT ART DIRECTION: a conversation with Nicolas Conrad,printed on 11x17 newspaper,11x17 tabloid ,Sara Hu,2024,src/HU_SARA_A conversation with Nicolas_1 - Sara Hu.jpg,HU_SARA_A conversation with Nicolas_1 - Sara Hu.jpg,"It was a pleasure to get to talk to current New Yorker art director Nicolas Conrad. In Nicolas’s eyes, art direction is more like doing puzzles. Finding the talented artists and writers are like collecting the right puzzle pieces. It is art director’s job to ensure these pieces work together to complete a successful work. "
An Interview with Nancy Skolos,Print on Newspaper,289 x 380mm,Jeanie Yu,2024,src/Yu-Jeanie-An Interview with Nancy Skolos-02 - Jeanie Yu,Yu-Jeanie-An Interview with Nancy Skolos-02 - Jeanie Yu,"An interview project with Nancy Skolos thoughtfully discusses her approach to designs, skillfully combining 2D and 3D elements, typography, and photography into posters. She reflects on blending traditional design techniques with modern, experimental approaches and shares insights on staying consistently inspired over decades. Nancy also discusses the role of education in her career, both as a teacher and a learner. Her thoughtful perspective highlights the evolving design and its profound connection to both personal and professional growth."
Ancestral Traces,Sculptural Book,14 * 12 inches,Ritvi Gilara,2024,src/2 - Ritvi Gilara.HEIC,2 - Ritvi Gilara.HEIC,"I incorporated Hindi text to honor past teachings while moving forward. Plaster pages feel unstable, resembling faded memories. However, the copper sheets are sturdy and will change over time. Rooted in me by the concept of Pitra, the Hindu belief in an ancestral connection, it questions the undeniable aura of those who came before us, asking how our past impacts who we are today."
Anomaly,Poster,three 24 x 36 posters,Chanya Vitayakul,2024,src/Anomaly Posters [Recovered]-01 - Chanya Vitayakul.jpg,Anomaly Posters [Recovered]-01 - Chanya Vitayakul.jpg,Exploring the idea of anomaly and oddity through illustrations and typography
Anytime,"Printed on fabric, stitched on a wooden rod / Video projection",40 * 26 (inch),Minah Kim,2024,src/KIM_MINAH_Anytime_video - Minah Kim.mp4,KIM_MINAH_Anytime_video - Minah Kim.mp4,"This project is about the merry-go-round-like quality of our life and relationships, executed as a multi-media piece that begins from the poem that I wrote. As the poem repeats around the form and the horses running on loop on the fabric surface, it provides the intimate time and space for the audience to reflect on themselves. The poem on the outer circle is typeset by Amoeba Dance, a custom variable font that embodies the cycle of amoeba life."
Anytime,Fabric Poster,35x60,Yeriel Jeong,2024,src/IMG_0182 - Yeriel Jeong.JPG,IMG_0182 - Yeriel Jeong.JPG,"Anytime is a romanticized reflection on the paradoxical and contradictory nature of time—absolute and relative, objective and subjective. It captures the side of time that flows uniquely for each person. Light filtering through the punched letters invites us to reflect on the beautiful, fleeting essence of time.
"
Asset,"Print,",40x30,Ryan Yan,2024,src/Asset 1 - Ryan Yan.png,Asset 1 - Ryan Yan.png,Bouquet as wings
Attachment,"Print, Temporary Tattoo Paper","6 x 9"" i think",Dani Guerra,2024,src/Guerra_Dani_Attachment1 - Daniela Guerra Fioranelli.png,Guerra_Dani_Attachment1 - Daniela Guerra Fioranelli.png,"""Attachment"" is a book documenting the exploration of its namesake. It journeys through the different interpretations of the word, ultimately using tattoos as its canvas. The designs then become printed on temporary tattoo paper and are documented once again as they become distorted on the skin. The project aims to view tattoos as an extension of oneself as attachments. "
Attachments,"Print, Silver rings",17x80,Yeriel,2024,src/IMG_2521 - Yeriel Jeong.jpg,IMG_2521 - Yeriel Jeong.jpg,"Under the theme of ""Attachment,"" I explored the concept of email attachments by visually reinterpreting actual email exchanges with my professor. This project transforms the seemingly endless chain of online emails into a tangible, physically elongated form, bringing digital communication into the real world."
Autos Grotesk Specimen,Print,tbd,Andrew Haoyuan Liu,2025,src/autoss4 - Haoyuan Liu.jpg,autoss4 - Haoyuan Liu.jpg,A neogrotesque typeface.
Big Gum Sculpture,Poster,18 by 24,Jyot kaur thind,2022,src/IMG_6684 - Jyot Thind.jpeg,IMG_6684 - Jyot Thind.jpeg,"A poster for a fictional event called The Big Gum Sculpture, where everyone brings a piece of gum and adds it to a collaborative community sculpture.lol"
Bloom,2022, 2.33 feet × 6.97 feet,Aniyah Lee,2022,src/LEEANIYAH_ANIYAH_BLOOM - Aniyah Lee.png,LEEANIYAH_ANIYAH_BLOOM - Aniyah Lee.png,"Bloom is a concept athletics brand geared towards individuals wanting to achieve betterment in their daily lives. This clothing 
brand derives from nature’s course of growth and the progression 
of life. Using nature’s design as inspiration, Bloom wants their customers to flourish while wearing their activewear."
BLUE MUSIC,Video,1980 x 1080,Hyunjun Yoo,2024,src/Hyunjun Yoo Seniorshow MOTION - Hyun Jun Yoo.mp4,Hyunjun Yoo Seniorshow MOTION - Hyun Jun Yoo.mp4,"It's a music video visualizing one of the music from the jazz music, count on Me, by Hiromi."
Bodily,Posters,ten 13.5 x 16 posters,Chanya Vitayakul,2022,src/1 - Image and Type & - Chanya Vitayakul.jpg,1 - Image and Type & - Chanya Vitayakul.jpg,Exploring the spatial relationship between type and the body. Photography by Brooke Didonato.
Bug Like An Angel,printed poster + yarn + projection,36 x 24 in,Anja Drakulović,2024,src/DRAKULOVIC_ANJA_BUGLIKEANANGEL - Anja Drakulovic.png,DRAKULOVIC_ANJA_BUGLIKEANANGEL - Anja Drakulovic.png,"Lyric poster for Mitski's song ""Bug Like An Angel"". Video projected over the poster, yarn intertwining with all of it."
Builder of Beautiful Things,newsprint spread,289 x 380mm,Hannah Jeong,2024,src/JEONG_HANNAH_BUILDER-OF-BEAUTIFUL-THINGS 02.pdf - Hannah Jeong.pdf,JEONG_HANNAH_BUILDER-OF-BEAUTIFUL-THINGS 02.pdf - Hannah Jeong.pdf,"Interview conducted with Talia Cotton and designed newspaper spreads, using graphic shapes and tool motifs. "
Calendar Flip Book ,Book,"4""x4""x.05""",Miko Sellier,2023,src/april vid cal - Miko Sellier.mp4,april vid cal - Miko Sellier.mp4,Calendar Flipbook
Call Me Anytime*,Printed fabric sewed into a blanket,"36""x60""",Sejal Gupta,2024,src/Gupta_Sejal_Call-Me-Anytime2 - Sejal Gupta.png,Gupta_Sejal_Call-Me-Anytime2 - Sejal Gupta.png,"Call Me Anytime* is a twin-sized blanket made from screenshots of missed calls, coded to create alphabet that spells out Call Me Anytime*, with a big, unmistakable asterisk. The design is printed on fabric and hand-sewn into a 5-foot long blanket."
CHIMERA: A Reader On Cybernetics,Print,6*9in,Andrew Haoyuan Liu,2023,src/LIU_ANDREW_CHIMERA_1 - Haoyuan Liu.png,LIU_ANDREW_CHIMERA_1 - Haoyuan Liu.png,CHIMERA is a journal exploring the philosophies of cybernetics.
Collection of Knots,"color pencil on paper, print on butcher paper",23 * 32 inch /poster,Ash Ma,2023,src/ASH_MA_collection_1 - Wenqing Ma.png,ASH_MA_collection_1 - Wenqing Ma.png,"The Collection of Knots is a poster series organizing 50 knots in the category of [Knots that are Knots] and “Knots that are not Knots].
It later extended to a mini-exhibition that allowed people to knot their own collection, with corresponding instruction of tiding the knot."
Collection of Marble,"Poster, Book","Poster: 24x36, Book: 3x3",Ryan Yan,2023,src/marble-scan-animation - Ryan Yan.gif,marble-scan-animation - Ryan Yan.gif,Collection of a singularity; collection as perspective
Cyrillic Index,book + posters,"8 x 6 in, 36 x 24 in",Anja Drakulović,2025,src/Comp 2 - Anja Drakulovic.mp4,Comp 2 - Anja Drakulovic.mp4,"WHAT IS IT?
Cyrillics Index is a collection of street typography found in Serbia and Montenegro.

WHAT IS IT FOR?
Understanding letterforms of Cyrillic typefaces compared to latin. "
Cyrillic Index,poster and book,"6 x 8 inches, 24 x 36 inches",Anja Drakulović,2025,src/DRAKULOVIC_ANJA_INDEX - Anja Drakulovic.mp4,DRAKULOVIC_ANJA_INDEX - Anja Drakulovic.mp4,"
WHAT IS IT?
Cyrillics Index is a collection of street typography found in Serbia and Montenegro.

WHAT IS IT FOR?
Understanding letterforms of Cyrillic typefaces compared to latin. 
"
Demolition Festival,Poster,"30x40 (but i want to bring it really big, on fabric maybe)",Ryan Yan,2022,src/demolition-2 - Ryan Yan.jpg,demolition-2 - Ryan Yan.jpg,Demolition
desi—gned Issue 2,Publication,letter -ish,"Radhika Chauhan, Sejal Gupta",2024,src/Chauhan_Radhikdesigned_01 - Radhika Chauhan.jpg,Chauhan_Radhikdesigned_01 - Radhika Chauhan.jpg,"desi–gned is New England's first publication for the South Asian diaspora: a compilation of the living archives of ingenious craftsmanship, subaltern histories, and current contemplations, of untold stories that need to be shared. Issue 2 navigates the relationships between contemporary South Asian stories and their relationship to New England. These stories revolve around food, architecture, materials and culture. "
Designing the Future: Imagining and Speculating for Tomorrow,Book,"5.5"" x 8.5"" x 1""",Manna Patiparnprechavut,2023,src/Flipbook - Varissara Patiparnprechavut.mov,Flipbook - Varissara Patiparnprechavut.mov,"This collection of essays explores the evolving possibilities of designing the future, spanning from 2019 back to 1970. Featuring writings by Zoe Ryan, Fiona Raby and Anthony Dunne, Richard Barnbrook, and Alvin Toffler, the book traces speculative design thinking and emerging trends across different periods. Printed using a combination of laser and risograph printing, and featuring perfect-bound French folds."
Diagram of my bed,Print,4x5,Ryan Yan,2024,src/process1 - Ryan Yan.jpg,process1 - Ryan Yan.jpg,Anatomy of my bed
DIASPORATIC TEXTS IN ILLITERACY,Web,/,Ashley Cai,2023,src/Screen Recording 2024-02-20 at 10.12.24 PM - Ashley Cai.mov,Screen Recording 2024-02-20 at 10.12.24 PM - Ashley Cai.mov,"I built an interactive experience about the guilt, struggle, and shame of being somewhat illiterate in Chinese."
Disrupted Grid,Large print ,40 * 80 inches,Ritvi Gilara,2024,src/1 - Ritvi Gilara.pdf,1 - Ritvi Gilara.pdf,"Starting from 40 objects to making it a visual narrative on inner growth, I focused on the transformative phase of soulful healing, where mindfulness meets chaos. Altered typography, constructed textures, and broken grids all help portray the struggle between mind and soul. "
DISSECARE,Web,"It's a website, but I'm trying to display it on an old tv",Leon Calzone,2024,src/CALZONE_LEON_DISSECARE_1 - Leonardo Calzone.png,CALZONE_LEON_DISSECARE_1 - Leonardo Calzone.png,"This interactive website was made as an experimental avatar to explore the medicalization of the queer body, empowerment in monstrosity, and defiance through unintelligibility. The website is the old computer desktop of a police officer who became obsessed with the cadaver of a mysterous winged creature. The desktop contains all of the evidence and information he has collected since the night he first saw it. The first page of the website features case documents, images, and journal entries. Clicking the folder titled, DISSECARE, opens an e-autopsy report with descriptions of the creature’s incomprehensible anatomy. "
el lissitzky,laser etching on plastic ,12 * 12inch,Ash Ma,2024,src/ASH_MA_elliz_1 - Wenqing Ma.png,ASH_MA_elliz_1 - Wenqing Ma.png,Vinyl design featuring El Lissitzky's take on typography.
Euforia Serif,Type design,2 18x24 posters and a 8.5x11 specimen booklet,Anh Nguyen,2024,src/NGUYEN_ANH_EUFORIASERIF - Anh Nguyen.pdf,NGUYEN_ANH_EUFORIASERIF - Anh Nguyen.pdf,"The initial inspiration for Euforia comes from a lack of Vietnamese text typeface I experienced growing up and my personal drawing bible, ‘Force Dynamic Life Drawing for Animators’ by Michael Mattesi. I simply wanted a typeface that has full Vietnamese support and is comfortable for my reading. Euforia began as a selfish whim but blossomed into something quite versatile.
Crafted with proportions mimicking my own handwriting and soft curves reminiscent of swift motion, Euforia captures the essence of the word “force” for me. Its display-oriented serif lends it heaps of personality, especially at larger sizes."
Everything I Would’ve Taught My Now Aborted Child,"Print on silk organza, steel rod, steel chain",36 x 94 in,Chanya Vitayakul,2024,src/Vitayakul_Chanya_EverythingIWould'veTaughtMyNowAbortedChild2024 - Chanya Vitayakul.jpeg,Vitayakul_Chanya_EverythingIWould'veTaughtMyNowAbortedChild2024 - Chanya Vitayakul.jpeg,"""Everything I Would've Taught My Now Aborted Child"" materializes personal narrative through text and delicate materiality. The work consists of a translucent silk organza sheet with printed on text, suspended from a steel rod and chains. The silk organza, a fragile and fleeting material, echoes the intangibility of an imagined future—one filled with lessons, guidance, and experiences that now exist only as words. The text represents a monologue of care and knowledge that will never be spoken to its intended recipient. The steel elements—rod and chains—contrast with the delicacy of the silk, adding a structural weight that anchors the piece, symbolizing permanence, constraint, and the burden of memory through its inherent masculine qualities.

As the fabric sways subtly with air currents, the words shift in and out of clarity, reinforcing the impermanence of the envisioned relationship between mother and child. The installation invites contemplation on themes of loss, autonomy, potentiality, and the emotional weight of choice, transforming personal history into a poetic and tactile meditation on absence and imagined futures."
"Faith, Light, Space",video,square ,Hannah Jeong,2024,"src/Faith, Light, Space - Hannah Jeong.mp4","Faith, Light, Space - Hannah Jeong.mp4","A series of meditative hand-drawn animations, digitally compiled, reflecting the process of searching, praying, and creating during a time of uncertainty and anxiety."
Farewell by the ferry,Printed poster,24x36,Sara Hu,2024,src/HU_SARA_FAREWELL BY THE FERRY - Sara Hu.jpg,HU_SARA_FAREWELL BY THE FERRY - Sara Hu.jpg,"A poster for my father. The text is from a poem called Ferry(渡口) by Xi Murong's. It reminds me of my father. Every summer I left my home for school, we said goodbye at the ferry. We hugged each other but we said nothing. We could not find a way to express how sorrowful we both felt, but I guess now I find a way to express that feeling."
Feetwashing Heaven,photocopy zine,11 * 9.5 inch,Ash Ma,2025,src/ASH_MA_FWH_1 - Wenqing Ma.jpg,ASH_MA_FWH_1 - Wenqing Ma.jpg,"Feet-washing Heaven is a project initiated by three beings(Ash Ma, Nor Wu, Lily Wu) who have been exiled from the Sensical World. Bridging textiles, graphic design and collaborative sketch sessions, we embrace domestic materials to create absurd dialogues in this Feet-washing sanctuary of collective making."
Gardens are for lovers,Web,Web,Ryan Yan,2024,src/what-we-grow-together - Ryan Yan.png,what-we-grow-together - Ryan Yan.png,"The web as a physical gathering space, local multiplayer"
Glitch-Chatbot,Interaction Design/Digital Media ,1920x1080,Li June,2024,src/trimmed - Li June Choi.mp4,trimmed - Li June Choi.mp4,How do we create dysfunctional chatbots from AI? How can AI be fun? GlitchBot aims to uncover how chatbots can be interactive and exploratory when the user blocks them from having proper sequenced responses. 
Graphic Design Fall 2024 Speaker Series,Large poster,36x48,Hannah Jeong,2024,src/JEONG_HANNAH_FALL-SPEAKER-SERIES - Hannah Jeong.pdf,JEONG_HANNAH_FALL-SPEAKER-SERIES - Hannah Jeong.pdf,"A series of posters designed for the RISD Graphic Design department’s annual fall semester speaker series. The poster identity utilizes a layering paper motif, inspired by the complexities and layers of history investigated by the critically informed speakers. "
Ground Variable,Printed Circuit Board,"2"" x 3"" (3 pieces)",Manna Patiparnprechavut,2025,src/Manna_Patiparnprechavut_GroundVariable_1 - Varissara Patiparnprechavut.png,Manna_Patiparnprechavut_GroundVariable_1 - Varissara Patiparnprechavut.png,"This project reimagines the concept of a ""poster"" by integrating board silkscreen layers, mounted components, soldering, timers, and logic gates into an interactive typographic composition. Typically concealed within compartments, behind walls, or reduced to minute scales, circuit elements here are deliberately exposed and embedded within the design, transforming functional components into visual and experiential assets. Wiring lines, switches, and active elements are not just structural necessities but integral parts of the composition, creating a dialogue between materiality, dimensionality, and function. Viewers can interact with the circuit, controlling embedded lights to alter their speed or selectively illuminate certain areas, enhancing engagement and expanding the role of the poster beyond static communication into a dynamic, participatory experience."
Heart of the Elephant,Risograph printed zine + vellum inserts,~4x6in?,Brianna Cheng,2024,src/Cheng_Brianna_HeartOfElephant.jpg,Cheng_Brianna_HeartOfElephant.jpg,"While studying in London, I wanted to get to know the existing community around my school. What lies beyond the tall concrete tower of London College of Communication (LCC)? My research took me across centuries of urban development, economic contractions, and gentrification in the Elephant and Castle neighborhood: from its beginnings as a crossroad into the City of London into a working-class neighborhood, and future developments into an area catered towards university students.

This zine combines contemporary and archival research and images from the LCC's special collection, Southwark archives, and 56a Infoshop (a local social center and informal archive)."
hospital navigation,vellum prints,12 tabloid sized prints,Li Huang,2023,src/stack_0000_stack18 - Li Huang.png,stack_0000_stack18 - Li Huang.png,"""Hospital Navigation"" represents the culmination of my work in Contingent Cartographies within the realm of digital and interactive experiences. This deeply personal project documents the overwhelming experience of accompanying my grandfather during his battle with illness at the end of 2022. Drawing upon my own subjective feelings, my intention is to recreate the stressful and bureaucratic hospital environment.
Through a series of personal narratives, I have sought to create a sense of navigation that allows the viewer to experience the space through my own perspective."
How the Internet uses Nostalgia,Website,n/a,Jyot Kaur Thind,2024,src/THIND_JYOT_BRITNEY - Jyot Thind.mov,THIND_JYOT_BRITNEY - Jyot Thind.mov,"A redesign of The Atlantic article “How the Internet Uses Nostalgia”. The article explores how digital culture leverages nostalgia as both a marketing tool and a way to create emotional connections. It examines how social media, memes, and online content repurpose past aesthetics, trends, and references to evoke sentimentality, often blurring the line between genuine remembrance and commercialized nostalgia. The article discusses how this phenomenon shapes cultural memory, influences identity, and sometimes distorts history by presenting an idealized version of the past."
I'm Talking to Myself,Printed on matte paper,40 x 30 (inch) - when unfolded,Minah,2024,src/KIM_MINAH_I'mtalkingtomyself_digital - Minah Kim.jpg,KIM_MINAH_I'mtalkingtomyself_digital - Minah Kim.jpg,"These accordion book series are made of additive complexity of the basic building blocks of graphic design, non-stop. In multiple directions, front and back, and to the left and right, various properties – hue, text, language, and graphics – alter and layer upon each other. This architectural structure playfully explores the temporal space of graphic design, as the new form appears and merges into the original composition as another form appears."
Illusion of Signs,Print,30*60,Ritvi Gilara,2024,src/ritvi 2 - Ritvi Gilara.pdf,ritvi 2 - Ritvi Gilara.pdf,"I used my knowledge of grids to juxtapose an architectural parallel between structure and opacity to design an intricate piece that focuses on detailing and curiosity of perception. Manipulating the graph, I created a cubist pathway for typographical visualization. "
In conversation with Leah Beeferman ,Newsprint,Tabloid,Un Jingjang,2024,src/DSCF1123min - Ammi Kira.JPG,DSCF1123min - Ammi Kira.JPG,"An interview with Leah Beeferman, an artist and educator based in Providence on her journey in Norway and thoughts on future of Art and Design.
Printed with Newspaper Club"
In the Studio with Nancy Skolos,Newspaper,12*18 ish,Sophie Feng,2024,src/Feng_Sophie_In the Studio with Nancy Skolos_1 - Sophie Feng.png,Feng_Sophie_In the Studio with Nancy Skolos_1 - Sophie Feng.png,"A self-conducted and designed newspaper interview with graphic designer Nancy Skolos. The discussion delves into the purpose of design and the function of posters, providing insights into her collaboration with partner Tom Wedell, their inspiration, and design choices."
Instant Noodles,Plexiglass and Paper,12 x 18 inches,Sejal Gupta,2023,src/2024-04-15-0007-Large - Sejal Gupta.png,2024-04-15-0007-Large - Sejal Gupta.png,"Instant noodles is a 3-weight stencil set inspired by the metamorphosis of the noodle as it absorbs more water and becomes supple. These forms can be used to create dynamic type in different scripts, cases, glyphs and other abstract forms. The 1-minute stencil generates more explicit forms and the 11-minute noodles make ambiguous and subjective letters. Using both stencils together creates Al-dente—a more suggestive typeface with qualities of both. The stencils are also a nod to handwriting’s fluidity, which is why there are multiple ways to create a single letter form. The stencil can be rotated, inverted, overlapped and untethered of typographic conventions, giving complete autonomy to the user. Much like cooking, it is intuitive and a tool for creating forms that celebrate play, chance, and unexpectedness."
Instructional Typograhy,"butcher paper, accordion book",3.6 x 8.5 in,Li Huang,2024,src/2 - Li Huang.png,2 - Li Huang.png,"A curated collection of instructive typographic works, featuring El Lissitzky’s influential essays on typography presented as an instructional manual."
Interview Interview Magazine ,Newspaper,15 in x 22.75 ,Aniyah Lee,2024,src/LEEANIYAH_ANIYAH_INTERVIEWINGINTERVIEW_ - Aniyah Lee.pdf,LEEANIYAH_ANIYAH_INTERVIEWINGINTERVIEW_ - Aniyah Lee.pdf,"For my newspaper design, I created a visually striking layout featuring an interview with Kurt Woerpel, a designer at Interview magazine. The design reflects Woerpel’s bold, editorial style, blending expressive typography with dynamic compositions inspired by his work. The newspaper also features his own illustrations, adding a personal, artistic touch that brings his creative vision to life. I used a clean, modern grid to balance imagery and text, ensuring a seamless reading experience while highlighting key insights from our conversation."
Interview with Companion—Platform,"Print, newspaper",(newspaper spread size),Ryan Yan,2024,src/full1 - Ryan Yan.jpg,full1 - Ryan Yan.jpg,Interview
Interview with Kwon Joonho from  Everyday Practice Studio,newsprint,11x17 (folded),Isabel Lee,2024,src/LEE_ISABEL_INTERVIEW - Isabel Lee.png,LEE_ISABEL_INTERVIEW - Isabel Lee.png,"Interview with Kwon Joonho from Everyday Practice Studio
Interviewed by Isabel Lee & Minhee Lee 
Designed in Korean and English

Advised by Tom Wedell
DS Spring 2024"
Interview with Mira Rojanasakul,Newsprint,289 x 380mm,Ashley Cai,2024,src/mira-interview - Ashley Cai.pdf,mira-interview - Ashley Cai.pdf,"For DS4, I conducted an interview with Mira Rojanasakul, designer and graphics editor for the New York Times."
Interview with Monica Lòsada,Newsprint,289 x 380mm,Jyot Kaur Thind,2024,src/THIND_JYOT_INTERVIEW_5 - Jyot Thind.JPG,THIND_JYOT_INTERVIEW_5 - Jyot Thind.JPG,"I had the pleasure of interviewing Mònica Losada, a graphic designer from Barcelona, now at Pentagram. We discussed her interest in translation, her iterative design process, and taking risks as a designer. Monica shared how her multilingual background influences her work and offered insights into her journey from Barcelona to Pentagram."
is Radhika being productive right now?,Website,"36"" x 48"" ",Radhika Chauhan,2024,src/Chauhan_Radhika_Productivity_01 - Radhika Chauhan.png,Chauhan_Radhika_Productivity_01 - Radhika Chauhan.png,"I am my productivity every hour of every day through this time–based website. Navigating productivity as a capitalist tool to rob things of their endurance and using moments of ""linger"" and ""sleep"" to actively resist the need to produce and consume 24/7, this website changes its state based on my calendar entries of time spent every day. I plot this to understand that all time not spent working is not not productive."
Its Controversial,Website,n/a,Jyot Kaur Thind,2024,src/THIND_JYOT_ITSCONTROVERSIAL_1 - Jyot Thind.PNG,THIND_JYOT_ITSCONTROVERSIAL_1 - Jyot Thind.PNG,"This website is an evolving archive and curated collection exploring the portrayal of femininity in Bollywood. It brings together images, objects, articles, and media that examine the feminine role in Indian cinema—its evolution, cultural impact, and shifting narratives.  The first featured article is “What Madhuri Did Next?” by Raja Sen, which explores the evolution of Madhuri Dixit's career—her transition from a leading Bollywood star to taking on more radical, unconventional roles. With a special focus on the iconic 2000s era, the growing collection will highlight Bollywood’s romantic tropes, and the changing dynamics of gender representation."
IVY ROOTS,Book ,8.5x11,Aniyah Lee,2024,src/IVYREV - Aniyah Lee.pdf,IVYREV - Aniyah Lee.pdf,"Ivy Roots is an insightful zine that explores the profound connection between Black style and revolution, focusing on the transformative period of the 1960s during the Civil Rights era. Inspired by the power of fashion as both a tool and a statement, this zine delves into how Black style became an essential element of resistance, empowerment, and identity during a time of social and political upheaval.

Through an in-depth look at the Black Power Movement and the Black Ivy Revolution, Ivy Roots examines the cultural significance of fashion as a means of self-expression and defiance against systemic oppression. From the sharp suits of the Civil Rights leaders to the iconic afros, leather jackets, and berets of the Black Panthers, and the preppy yet rebellious attire of the Black Ivy League students, the zine highlights how style was intricately woven into the fabric of revolution.

Ivy Roots also highlights the attire of the everyday individual, showing how daily fashion choices became acts of resistance and cultural pride. It bridges the past and present, tracing the evolution of Black style from the 1960s to the modern era, raising thought-provoking questions about what Black style is and how it continues to shape and be shaped by cultural and political movements today.

This zine invites readers to reflect on the enduring legacy of Black fashion and its role in challenging the status quo, celebrating heritage, and inspiring future generations."
Jewel,print,"36 x 24? or approx 18 x 24, think of it as a painting",Mandy Liu,2024,src/Liu_Mandy_Jewel - Mandy Liu.png,Liu_Mandy_Jewel - Mandy Liu.png,"A surreal narrative in the form of a game, about collecting abandoned furnitures"
