Work title,Work medium,"Size of work
"Kintsugi: The Art of RepairThis series of five posters delves into the philosophy of kintsugi (金継ぎ), the Japanese art of repairing broken pottery with gold. More than a restoration technique, kintsugi embodies a deeper narrative about resilience, imperfection, and beauty in breakage. Each poster reflects different aspects of this concept through typography, fragmentation, and composition, inviting viewers to reconsider the aesthetics of repair.  The interplay of text—both in English and Japanese—reinforces the act of mending, with words like repairing, fixing, mending appearing in broken yet reconstructed arrangements. The use of negative space, disrupted letterforms, and layered typographic elements mirrors the fragmented nature of shattered ceramics, while golden accents or reconstructed elements suggest renewal.",Posters,18x24,Isabel Lee,2024,src/LEE_ISABEL_KINTSUGI - Isabel Lee.pdf,LEE_ISABEL_KINTSUGI - Isabel Lee.pdf,"This series of five posters delves into the philosophy of kintsugi (金継ぎ), the Japanese art of repairing broken pottery with gold. More than a restoration technique, kintsugi embodies a deeper narrative about resilience, imperfection, and beauty in breakage. Each poster reflects different aspects of this concept through typography, fragmentation, and composition, inviting viewers to reconsider the aesthetics of repair.

The interplay of text—both in English and Japanese—reinforces the act of mending, with words like repairing, fixing, mending appearing in broken yet reconstructed arrangements. The use of negative space, disrupted letterforms, and layered typographic elements mirrors the fragmented nature of shattered ceramics, while golden accents or reconstructed elements suggest renewal."
Kurt Woerpel Interview,Magazine,"12""x""16?",Miko Sellier,2024,src/kurt - Miko Sellier.pdf,kurt - Miko Sellier.pdf,"Magazine Interview with the Art Director of ""Interview Magazine"""
Legion Paper,Packaging Design ,"8""x10""x0.5""",Miko Sellier,2024,src/GUUUURLLLLL - Miko Sellier.mp4,GUUUURLLLLL - Miko Sellier.mp4,Mock rebrand for Legion Paper.
Legion Paper,Printed Posters,18x24 (5 of Them),Miko Sellier ,2024,src/cgcg - Miko Sellier.png,cgcg - Miko Sellier.png,Mock rebrand for Legion Paper
Lost in Transience,"Online, Projection+printed book",Screen size. Projection at least 50 inch wide.,Scarlett Wang,2024,src/IMG_1699 - Scarlett Wang.jpeg,IMG_1699 - Scarlett Wang.jpeg,"This is an interactive space showcasing an organic and mystic typeface. Forms extracted from natural crystals and corals are translated into sound. They are further planted into this tranquil virtual space, floating around the crystal structure. Once you approach any letter, you will hear the vibrating voice of each letter. Crystals and corals are long-living beings that they themselves represent the imprint and passage of time. The way people possess or simply observe them is a transient moment compared to their long history. But the moment is precious. I wish to translate and share this beautiful moment with people."
Mantis Mansions,Acrylic plexiglass / living insects,"there are 6 boxes, each box is about 4"" x 4"" x 8""",Macaque Jagusah,2025,src/JAGUSAH_MACAQUE_MANTISMANSION - Macaque Jagusah.jpg,JAGUSAH_MACAQUE_MANTISMANSION - Macaque Jagusah.jpg,"Trying to hold onto the lives of as many of these fragile insects as possible. Over 100 mantises hatched, but I didn't have the money to make the containers as fast as possible, so most of them died within the first week. right now I'm down to just 7."
Marcel Duchamp Interview Book,rouge & white heavyweight paper; acetate,"8.5"" × 11"" (108 pg)",Zeyu Shen,2023,src/SHEN_ZEYU_DUCHAMP INTERVIEW 3 - Zeyu Shen.JPG,SHEN_ZEYU_DUCHAMP INTERVIEW 3 - Zeyu Shen.JPG,"This book was designed based on the transcript of a BBC interview with Marcel Duchamp in 1968. In the interview, Marcel Duchamp discussed his style of creating artwork, his understanding in Impressionism, and his piece “The Large Glass”. The conversation between two people was differentiated by two colors – red and blue. Duchamp’s artistic style and his insight into art is very avant-garde and unpredictable in a way, so the typesetting of his answers was presented in a variety of ways."
Me and My Glasses,Poster,24x36inches,Amber(Siyuan) Wang,2023,src/Amber_Wang_Me and my glasses2 - Siyuan Wang.png,Amber_Wang_Me and my glasses2 - Siyuan Wang.png,"""Me and My Glasses"" is both a collection poster showcasing my glasses and a functional eye chart. By integrating the work’s title into the visual design, it transforms a standard vision test into a more engaging and playful experience. This piece explores the intersection of personal identity and visual perception, reimagining the traditional eye chart as both a practical tool and a creative expression."
Miko Motion Reel,Video ,Computer screen size,Miko Sellier,2025,src/miko reel - Miko Sellier.mp4,miko reel - Miko Sellier.mp4,Motion Reel compilation
Miko's Planet,Rock ,"4""x6""",Mike Sellier,2025,src/images-39 - Miko Sellier.jpeg,images-39 - Miko Sellier.jpeg,QR code engraved on rock that leads to Miko's Planet (Website) 
MillerKnoll Redesign ,"I used a combination of digital design tools, including Adobe Creative Suite for graphic design and Cinema 4D for 3D modeling, to create the visual elements. ",36 x 48 inches ,Aniyah Lee,2024,src/1pres - Aniyah Lee.pdf,1pres - Aniyah Lee.pdf,"For my MillerKnoll redesign, I’ve created a modern, cohesive visual identity inspired by the elegance and functionality of their furniture. The minimalist logo reflects the brand’s commitment to craftsmanship and innovation. I’ve ensured that the posters, business cards, website, and mobile app all harmonize these principles, providing a refined, user-friendly experience. This redesign aligns with MillerKnoll’s premium, design-forward reputation, emphasizing both aesthetics and practicality."
Mirer,Print on Matte Paper,"3 24 x 36"" Posters",Dani Guerra,2024,src/Guerra_Dani_Mirer2 - Daniela Guerra Fioranelli.png,Guerra_Dani_Mirer2 - Daniela Guerra Fioranelli.png,"Inspired by Dan Van Landingham’s surrealist landscapes, the ""Mirer"" series (from the French verb meaning “to look”) invites viewers to question the reality before them. Each poster explores the tension between perception and reality through different lenses: psychology, science, and philosophy. The first poster examines human nature with the phrase “I’m not a bad dog // I don’t know why I bite,” reflecting the struggle between inherited tendencies and self-determination. The second poster uses optical illusions to highlight how our physiology both constructs and distorts perception. The final poster, referencing Magritte’s The ""Treachery of Images"" with “Ceci n’est pas un paysage” (“This is not a landscape”), questions whether representations can ever truly embody what they depict. Through this interplay, ""Mirer"" challenges us not just to observe but interrogate the lenses through which we perceive reality."
Nebula ," RoboFont,  Cinema 4D",2.11 feet × 3.48 feet.,Aniyah Lee,2024,src/LEEANIYAH_ANIYAH_NEBULA - Aniyah Lee.png,LEEANIYAH_ANIYAH_NEBULA - Aniyah Lee.png,"Created in fall 2023 during Riccard Lipton's class, Nebula is inspired by Pierce Brown's Red Rising. Its bold, curved, and slanted serifs reflect the novel's gritty, dystopian tone.Reimagined as a perfume, Nebula becomes a marketing device for both the book and typeface, offering a sensory experience that captures the story’s essence, bringing its atmosphere to life beyond the page."
Origami Poster Serie,Digital printing on silk,"each poster is 32*32'', total 9 posters",Sophie Feng,2024,src/Feng_Sophie_Origami Poster Serie - Sophie Feng.HEIC,Feng_Sophie_Origami Poster Serie - Sophie Feng.HEIC,"A series of posters created for an exhibition, incorporating dynamic patterns and motion elements. The designs aim to engage viewers by blending static and animated visuals, creating an immersive experience."
PARANOIA,Book ,"6""x9""",Miko Sellier,2024,src/paranoia 2 - Miko Sellier.mov,paranoia 2 - Miko Sellier.mov,"“Paranoia,” is a haunting magazine that unveils a collection of ghost tales transcending the boundaries between the living and spectral.
"
Pasalubong,Keychain ,4x4,Miko Sellier,2023,src/PASA69 - Miko Sellier.PNG,PASA69 - Miko Sellier.PNG,Souvenir Project
Path,paper,7x10 inches,Amber(Siyuan) Wang,2024,src/Amber_Wang_Path1 - Siyuan Wang.png,Amber_Wang_Path1 - Siyuan Wang.png,"Path is a magazine project that explores the journeys of artists at different stages—from students on the verge of graduation to those who have established themselves in the art world. Through in-depth interviews, I listen to their stories, tracing their paths from uncertainty to growth, from questioning their choices to finding their direction.

For those of us about to step into the unknown, their experiences serve as a guide, reminding us that doubt and confusion are part of the creative process. There is no single right way—what matters most is discovering what truly excites you."
Period Sex,Crochet mercerized cotton yarn,74x43in,Chanya Vitayakul,2024,src/Vitayakul_Chanya_PeriodSex2024 - Chanya Vitayakul.jpg,Vitayakul_Chanya_PeriodSex2024 - Chanya Vitayakul.jpg,"Blending the gentle nature of handmade fiber art with the boldness of self-expression, this piece conveys a sense of confidence and defiance, embodying unapologetic femininity. The interplay between the soft, tactile quality of the yarn and the assertive message forms a striking contrast that complements the inherent femininity of the craft. Red lipstick, a symbol of boldness and allure, serves as a metaphor for self-empowerment, while the carefree approach to intimacy reflects themes of freedom, desire, and self-worth. With its handcrafted texture and provocative text, the tapestry challenges traditional notions of femininity and societal expectations, standing as both a personal statement and a work of modern feminist art."
"Premium Deluxe Ultra-Soft Floor Cushions with Strikingly Realistic Aerial Chair Imagery Imprint - Premium Lounge and Decorative Seating Essentials for a Chic and Modern Home Setting - Extra Comfortable, Large, and Durable Soft Furnishings to Elevate Your Interior Aesthetics and Enhance Your Relaxation Experience, Expertly Crafted for Unmatched Style and Unprecedented Comfort - Perfect for Trendy, Stylish Living Spaces and Those Who Demand the Epitome of Home Comfort and Design Excellence.  ","Cotton Percale, Polyfibre",24 by 24 inches,Jyot Kaur Thind,2023,src/THIND_JYOT_CUSHION_1 - Jyot Thind.PNG,THIND_JYOT_CUSHION_1 - Jyot Thind.PNG,"This collection of floor cushions explores the concept of seating as a commodity—something bought, sold, and historically tied to power and the hierarchical division of space. I wanted to create an object that highlights the irony and absurdity of these systems."
Pushing Buttons,Website,on an interactive screen/desktop,Sejal Gupta,2024,src/Gupta_Sejal_PushingButtons - Sejal Gupta.png,Gupta_Sejal_PushingButtons - Sejal Gupta.png,Pushing Buttons is a commentary on UI/UX and “user-friendly” design. The website is a collection of micro sites which build anticipation towards an impending event through the metaphor of the button. Each interaction is supposed to literally push the user’s buttons while the user themselves can’t do the same despite the visual queues. 
Queer Will,Print,"Each poster is 11x16, but there's a lot of them ",Leon Calzone,2025,src/CALZONE_LEON_QUEERWILL_1 - Leonardo Calzone.HEIC,CALZONE_LEON_QUEERWILL_1 - Leonardo Calzone.HEIC,"Queer Will is an ongoing project that asks queer people what we want to do before we die. As queer individuals, our futures often feel uncertain. This uncertainty is heightened as our community faces increasing hostility and erasure. The title Queer Will speaks to both the act of writing a will and the enduring willpower queer people have always shown in living beautiful, meaningful lives regardless of the state of the world. By collecting and archiving these personal aspirations—whether grand or mundane—this project not only preserves the dreams of our community but also serves as a reminder of our shared humanity in a world that too often tries to deny it."
random thoughts,"zine, printed on Chinese paper/vellum",5.5 * 8.5 inch,Ash(Wenqing) Ma,2024,src/ASH_MA_randomthoughts_2 - Wenqing Ma.jpg,ASH_MA_randomthoughts_2 - Wenqing Ma.jpg,random thoughts and sketches 
Reverb & Remnants,"Acetate, Paper, Binder Rings, Plastic","12 x 12""",Dani Guerra,2024,src/Guerra_Dani_Reverb&Remnants - Daniela Guerra Fioranelli.MOV,Guerra_Dani_Reverb&Remnants - Daniela Guerra Fioranelli.MOV,"This artist book details the memory of concerts, taking the feeling and experience with you as a keepsake. It aims to capture music as all-encompassing and recreate these memories as they fade and blend together."
RISD Museum Rebranding Project,Poster,"2,082,339 bytes (2.1 MB ",Erica Yun,2024,src/risd rebranding - Erica Yun.jpg,risd rebranding - Erica Yun.jpg,"Given three weeks, I was challenged to develop a visual identity for one of four real-world organizations: the RISD Museum. After receiving a briefing from your client organization, I move through the stages of a real-world branding project, from research to asset building, to deploying your identity across applications. Specifically, I focus on the brand mission of interconnecting the tradition of the RISD Museum and modern art. I try to depict it by using the visual imagery of waves and complementary colors."
s(wipe) left,digitally embroidered handkerchiefs,"12""x12"" set of 6 in a box",Sejal Gupta,2025,src/Gupta_Sejal_SwipeLeft1 - Sejal Gupta.png,Gupta_Sejal_SwipeLeft1 - Sejal Gupta.png,"s(wipe) left is a set of digital and hand embroidered handkerchiefs made using the Tijima Pulse embroidery machine. The collection is inspired by the Victorian tradition of “dropping the handkerchief” wherein a lady would accidentally drop her handkerchief, prompting a passing gentleman to pick it up and initiate the beginning of a courtship. The subtle gesture became a signifier of romance, and ever since, handkerchiefs have been traditionally associated with chivalry, marriage, and love. The designed handkerchiefs in this box juxtapose found online dating bios with the romanticised object of the textile. The jarring layering of the two is a commentary on what love might look like today in its most overdone and pervasive form."
Scan Studies,Print on butcher paper,"the size varies from 3x3 inches to 4x7.5 inches, around 20 of them",Li Huang,2024,src/study2_1 - Li Huang.jpg,study2_1 - Li Huang.jpg,A collection of print experiments I did over span of last semester
Semantic Satiation,Book and Poster,"6.5""x9"" book and 24""x36"" poster",Sejal Gupta,2023,src/Gupta_Sejal_Semantic1 - Sejal Gupta.png,Gupta_Sejal_Semantic1 - Sejal Gupta.png,"Semantic Satiation is a typographic project about the absurdity of stereotyping—as interpreted through 5 writings. The 112-page book uses a 5-column grid system across all chapters which respond to the content in different ways. The book is typeset in English, Hindi, and a translated emoji paragraph. It is further accompanied by a large-scale poster—print, animated, and a book jacket that also repurposes as a second, smaller poster."
send-your-love,Web,1920*1080 (px),Minah Kim,2024,src/KIM_MINAH_send-your-love - Minah Kim.pdf,KIM_MINAH_send-your-love - Minah Kim.pdf,"This is a simple website that lets users to send a love letter by collecting words related to love and converts the letter into a cold email template. It sarcastically conveys how we, as job applicants, often use ""love"" or ""wish"" in our emails, but the intention is far from what we think as ""love"" in intimate situations. "
STARDUST ,Poster ,24x36,Miko Sellier,2023,src/Screenshot 2023-09-24 at 9.29.15 PM - Miko Sellier.png,Screenshot 2023-09-24 at 9.29.15 PM - Miko Sellier.png,Poster for Stardust Film Adaptation 
Symmetric Blueprint,Print ,24* 36,Ritvi Gilara,2024,src/structure_ritvi - Ritvi Gilara.jpg,structure_ritvi - Ritvi Gilara.jpg,"I understood my idea of minimalism, the system and negative spacing bridge the border between structure and abstraction, nearly showcasing an architectural trace."
Taipei 2024 Art Book Fair,Laser Print on Satin Paper,24x36 inches,Jeanie Yu,2024,src/Yu-Jeanie-Taipei 2024 Art Book Fair-03 - Jeanie Yu,Yu-Jeanie-Taipei 2024 Art Book Fair-03 - Jeanie Yu,"The poster series and identity design for the Taipei Art Book Fair blends a dynamic, modern aesthetic with the timeless tradition of classic book fairs, inspired by the Renaissance era’s exchanges of poems and scripts. The spiral-binded fairytale motif, with the fair’s title replacing the book title, symbolizes the enduring magic of storytelling with the idea of past and present. Neon colors like hot pink and red were chosen to reimagine the classic book fair for today’s world with boldness and energy added to the identity. The design were in two sections—a playful arrangement of bookshelves, and a checkerboard pattern. The checkerboard pattern also evokes the structured layout of books, with their squarish forms. The dashed and solid shapes symbolize the interplay between continuity and interruption in storytelling and creativity. An interactive website enables audience to design personalized mobile and desktop wallpapers, allowing them to decorate their devices and create timeless memories that celebrate the Taipei Art Book Fair."
Taking Space,"Motion Installation, Projections",as big as possible?,Radhika Chauhan,2024,src/Chauhan_Radhika_TakingUpSpace_01 - Radhika Chauhan.mp4,Chauhan_Radhika_TakingUpSpace_01 - Radhika Chauhan.mp4,"This installation explores the role of body in space through the lens of cyberfeminist literatures and gender studies in technology. The manifestos/texts/extracts/actions projected as motion pieces are sourced from essays by writers and thinkers including Mindy Seu, Judy Wajcman, Donna J. Haraway, Virginia Barratt, Julianne Pierce, Francesca da Rimini, and Josephine Starrs. "
Target,"Concrete, steel rod, ultrasound print on linen",18x11x48in,Chanya Vitayakul,2024,src/Vitayakul_Chanya_Target2024 - Chanya Vitayakul.jpg,Vitayakul_Chanya_Target2024 - Chanya Vitayakul.jpg,"""Target"" is a sculptural work that embodies a profound personal narrative through its materiality and composition. Constructed from concrete, a steel rod, and linen, the piece presents a striking interplay between weight and fragility. The steel rod, rigid and piercing, vertically punctuates the space, impaling the linen fragments—each bearing scans of the artist’s ultrasound from their abortion. The concrete base grounds the work, symbolizing an unyielding foundation in contrast to the delicate, intimate imagery above.

The title, ""Target,"" evokes multiple layers of meaning—alluding to the body as a site of control and scrutiny, the experience of being under societal or political focus, or the personal weight of decision-making and bodily autonomy. Through this piece, the artist transforms personal history into a physical form, inviting reflection on the intersection of personal choice and external forces."
Test Your Typing Speed,Web,/,Ashley Cai,2023,src/test-typing - Ashley Cai.mov,test-typing - Ashley Cai.mov,"I built this capsule game to emulate of the frustration of being treated with condescension as a non-native English speaker.
I grew up watching white people respond to my parents’ broken English with tension: wide eyes frozen in trapped patience, smile widened in condescension, a voice reserved for speaking to children.
Sometimes, it’s difficult to resist perpetuating the same."
The Cloisters Museum Identity Design,Laser Print of Matte Paper,24x13.5 inch each,Jeanie Yu,2024,src/Yu-Jeanie-The Cloisters Museum Identity Design - Jeanie Yu,Yu-Jeanie-The Cloisters Museum Identity Design - Jeanie Yu,"The rebranding of The Cloisters Museum, part of The Met, unites its identity with The Met’s iconic red while emphasizing its unique features. The “O” in “Cloisters” is reimagined as a squarish shape that stretches into a rectangle, symbolizing the museum’s quadrilateral garden gallery spaces and extended hallways. It acts as a window or framing device in posters, wayfinding, and web design. The redesign balances the Cloisters’ historic charm with a modern aesthetic, creating a connection to The Met. Its distinct narrative, blending historical architecture, art, and gallery spaces, invites audiences to engage deeply with its unique identity."
The Haunted Mansion Guide,"Photo album, mixed media",4.5 x 6 x 1 (inch),Minah Kim,2023,src/KIM_MINAH_TheHauntedMansionGuide - Minah Kim.pdf,KIM_MINAH_TheHauntedMansionGuide - Minah Kim.pdf,"This is a guide/catalog of the looks and color themes created by Mona May, drawn from the movie <Haunted Mansion> (2003). It includes the mysterious-looking polaroid photos, puzzles, and shots from the movie, which theoretically provides the audience the clues about how to navigate the 'haunted mansion.'"
The Revolution Will Not Be Televised,Print,6*9 in (i think),Andrew Haoyuan Liu,2023,src/LIU_ANDREW_REVOLUTION_1 - Haoyuan Liu.png,LIU_ANDREW_REVOLUTION_1 - Haoyuan Liu.png,A lyrics book for Gil Scott-Heron’s 1971 poem and song The Revolution Will Not Be Televised.
The Scent of Typography,book,6x11,Hannah Jeong,2024,src/El Lissitzky Book Print_4 - Hannah Jeong.pdf,El Lissitzky Book Print_4 - Hannah Jeong.pdf,Two essays by El Lissitzky—The Topography of Typography and Typographical Facts—paired with a selection of vintage magazine perfume advertisements.
Thermal Flip book,Book + Projection/computer,4x4x4 (book),Isabel Lee,2024,src/LEE_ISABEL_FLIPBOOK - Isabel Lee.png,LEE_ISABEL_FLIPBOOK - Isabel Lee.png,"Thermal Flipbook is a printed sequence of thermal maps, created using After Effects to show the shifting gradients of color and fluid forms. The project visualizes heat distribution as abstract, color-shifting forms, translating temperature data into a tactile, interactive format. Each frame represents a moment in transition, with gradients and soft edges reflecting the fluid nature of thermal energy. Designed as a flipbook, the project emphasizes movement and change, allowing viewers to experience the shifting patterns through physical interaction."
This Moment,Silk book,7.5 x 9,Yeriel Jeong,2025,src/IMG_2856-ezgif.com-video-to-gif-converter - Yeriel Jeong.gif,IMG_2856-ezgif.com-video-to-gif-converter - Yeriel Jeong.gif,"‘This moment’ beautifully explores the paradoxical and contradictory nature of time, the way a speaker addresses a loved one. We can read the irony of time, which is absolute, yet relative, and seems to exist forever, but only exists for that moment. It's poetic, it's emotional, but it's also a reflection on time and life. As time and life are indefinable, we paradoxically realize that we should cherish each moment."
Through time and space,Matte Paper,136” x 35” long verticle poster,Un Jingjang,2024,src/NF_INSTALL-147-2 - Ammi Kira.jpg,NF_INSTALL-147-2 - Ammi Kira.jpg,"Using a space-time grid to explore how typography transforms, capturing and reflecting the essence of change through time."
Time Capsule,Posters and Digital ,11x17 posters (3) + digital ,Isabel Lee,2024,src/LEE_ISABEL_TIME CAPSULE_1 - Isabel Lee.jpg,LEE_ISABEL_TIME CAPSULE_1 - Isabel Lee.jpg,"""Time Capsule"" explores the relationship between the digital and physical in design, combining AI-generated and human-made elements. This project includes 32 postcards and over 100 AI-generated responses derived from my initial poster design. The AI-generated responses represent letters imagined to be written by ""people"" in future context to 2024, creating a dialogue between machine-made forms and human intervention. These elements are integrated into both print and my website, bridging digital and physical spaces while questioning authorship, imitation, and the evolving role of the digital and physical in design."
Time Heals,"Linen print, Chain, Newsprint","65 x 20"" sculptural piece; 24x30 newsprint",Dani Guerra,2024,src/Guerra_Dani_TimeHeals_Display1 - Daniela Guerra Fioranelli.HEIC,Guerra_Dani_TimeHeals_Display1 - Daniela Guerra Fioranelli.HEIC,"""Time Heals"" depicts the build-up of tension when words are left unsaid through the distortion of a poem detailing experiences with depression."
TITLI UD,Website,n/a,Jyot Kaur Thind,2024,src/THIND_JYOT_TITLIUD - Jyot Thind.mov,THIND_JYOT_TITLIUD - Jyot Thind.mov,"Flutter is a variation of the open-source typeface Hind, inspired by my childhood poem about butterflies.The typeface explores the fleeting and ephemeral nature of language, capturing the sense of something slipping away just beyond our grasp. In Titli Ud, this typeface plays a key role in exploring the effects of language standardization and its impact on authentic communication. It reflects the linguistic “slippages” found in variations of accent and language use, challenging the notion of standardized English and emphasizing how these variations act as authentic markers of identity."
Treasures / Troves,Mixed media on paper,"Diptych: two 13x19"" drawings",Avery Browne,2024,src/abrowne1_edit - Avery Browne.png,abrowne1_edit - Avery Browne.png,The Whirligig Universe is an imagined place of vibrant autistic joy and refuge. I aim to illustrate these inner spaces that we retreat to for safety.
Turn Over a New Leaf,Digital (Website),webpage size (1500 * 935 px),Jolin Chen,2024,src/leafcopy-ezgif.com-video-to-gif-converter (1) - Jolin Chen.gif,leafcopy-ezgif.com-video-to-gif-converter (1) - Jolin Chen.gif,"Turn Over a New Leaf was a webpage dedicated to capturing and forecasting the vibrant transformation of fall foliage on College Hill this past fall semester. As I experienced my last autumn in Providence, I longed to capture the leaves’ vivid hues as a timeless keepsake of the season’s fleeting beauty."
Untitled ,Accordion book,8.5*11 ,Ritvi Gilara,2024,src/IMG_2023 - Ritvi Gilara.MOV,IMG_2023 - Ritvi Gilara.MOV,"Unfold, Unravel, and Engage"
Untitled (Document),Fabric printed,~42x110 in,Brianna Cheng,2023,src/Cheng_Brianna_Untitled(Document).jpg,Cheng_Brianna_Untitled(Document).jpg,"Juxtaposing corrupted mojibake text with even less understandable scientific terms, Untitled challenges the notion of readability. Do you truly understand every word you read? "
Ways of Communicating Ideas,Print,6*9 in,Andrew Haoyuan Liu,2023,src/LIU_ANDREW_WOC_1 - Haoyuan Liu.png,LIU_ANDREW_WOC_1 - Haoyuan Liu.png,"A book exploring various language and writing systems, their histories, evolutions, and modern uses."
Ways of Communicating Ideas,Book,"8""x8""x0.5""",Miko Sellier,2022,src/72975616_Unknown-3-2 2 - Miko Sellier.jpg,72975616_Unknown-3-2 2 - Miko Sellier.jpg,A book about various writing forms in different civilizations. 
Ways of Communication,printed book,~8x10in,Brianna Cheng,2023,src/Cheng_Brianna_WaysOfCommunication.jpg,Cheng_Brianna_WaysOfCommunication.jpg,"Ways of Communication features the history and uses of numerous language systems, from Sumerian cylinder seals to Chinese characters. "
We Gather Together,A poster serie printed on newsprints that has 5 posters,multiple sizes; around 20x30 inch each,Sara Hu,2023,src/ FENG_SOPHIE_WE GATHER TOGETHER - Sara Hu.jpg, FENG_SOPHIE_WE GATHER TOGETHER - Sara Hu.jpg,"India Point Park is a scenic open green space nestled along the coastline of Providence. It serves as a serene retreat for the local community, providing a tranquil environment for relaxation. In our group project, my peers Tony Zhao, Sara Hu, and I delved into the park's rich historical background and its significance to the community. Our curiosity led us to explore the interconnectedness between human activities, community development, and the preservation of natural habitats in this area."
Weaving Connection,Book,8*5”,Sophie Feng,2023,src/Feng_Sophie_Weaving Connection_3 - Sophie Feng.jpeg,Feng_Sophie_Weaving Connection_3 - Sophie Feng.jpeg,"In an effort to explore the intricate relationship between text and image, I developed an experimental website and an accompanying book. The goal was to delve into the interplay between movable illustrations and variable fonts. "
Weaving the Soul,"Korean paper, Wood",7.5 x 7.5 in,Minnie Lee,2023,src/Lee_Minnie_Weaving the Soul - Min Hee Lee.png,Lee_Minnie_Weaving the Soul - Min Hee Lee.png,"A bookmark is a momentary pause, a trace left between pages—a marker of presence before the journey resumes. In Weaving the Soul, the artist interlaces history and personal interpretation, transforming traditional Korean palace patterns into a contemporary 2D design. Inspired by the intricate drawings and motifs of royal architecture, she weaves these elements into her own visual language, embracing an antique yet timeless color palette. Each pattern is a thread connecting past and present, tradition and reinvention, delicately crafted to carry the echoes of cultural memory.

Like the act of reading itself, this bookmark invites engagement with the ephemeral: it holds a place, only to be moved again. In this way, the artwork echoes the fleeting nature of existence—seen, touched, then gone—reminding us that every moment leaves a trace, however slight, however fleeting.
"
What we see when we read,A book,6 * 8.5 (inch),Minah Kim,2023,src/KIM_MINAH_Whatweseewhenweread - Minah Kim.jpeg,KIM_MINAH_Whatweseewhenweread - Minah Kim.jpeg,"This book is a redesigned version of the book <What We See When We Read>, written by Peter Mendelsund. I focused on the visualization of the text to graphic, translating the context so that it can better convey the author's intention to the readers."
What's Inside the Providence River?,Web,/,Ashley Cai,2023,src/providence-river - Ashley Cai.mov,providence-river - Ashley Cai.mov,Our team scoured the bottom of the Providence River to map its objects and stories.
Whirligig Progeny I,Layered digital prints on acetate,6 ft x 8 ftish!!!!,Avery Browne,2024,src/_DSC4560 (1) - Avery Browne.jpg,_DSC4560 (1) - Avery Browne.jpg,"Whirligig Progeny I is an experimental print project separating and recombining the CMY channels of ten drawings, called Whirligigs, into a progeny of one hundred unique recombinants. Key inspirations include colorful microscopic specimen stains and the boundlessness of genetic recombination."
Wild Type Collelction,book,6x6 thick book,Sara Hu,2023,src/HU_SARA_WILD TYPE_1 - Sara Hu.jpg,HU_SARA_WILD TYPE_1 - Sara Hu.jpg,A collection of wild types I found on the streets
You are a good friend and I want to be better for you,Print,"Book: 8.5x11, Poster: 30x40",Ryan Yan,2023,src/publication-poster - Ryan Yan.pdf,publication-poster - Ryan Yan.pdf,"Readability, legibility, manipulation"
Zodiac Cosmetic Packages ,Packaging ,Multi but around 8 inches max,Miko Sellier,2024,src/zodiac mock edit 10 - Miko Sellier.png,zodiac mock edit 10 - Miko Sellier.png,Packaging for Zodiac Cosmetics
Zodiac Cosmetics ,POSTERS,18x24 (3 of them),Miko Sellier,2024,src/ZODS - Miko Sellier.png,ZODS - Miko Sellier.png,ZODIAC is a cosmetics brand explorating Astrological World.
包 (bāo),risograph ,3x3in,Brianna Cheng,2023,src/Cheng_Brianna_Bao.jpg,Cheng_Brianna_Bao.jpg,"包 (bāo) encompasses many meanings: as the noun meaning """"bun"""" and as the verb meaning """"to enclose or wrap."""" This souvenir encompasses these definitions in my memories of folding dumplings as a child. Using an infinitely folding form, it expresses the ritual and meditative repetition associated with the memory. 

Printed using risograph and hand assembled, edition of 50."
,,,,,src/,,